"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 20 03:53:09 UTC 2024","Sat Jan 20 03:53:34 UTC 2024","24618","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sat Jan 20 05:02:06 UTC 2024","Sat Jan 20 05:02:07 UTC 2024","1382","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Jan 20 03:53:34 UTC 2024","Sat Jan 20 03:53:36 UTC 2024","1637","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Jan 20 02:29:13 UTC 2024","Sat Jan 20 02:29:37 UTC 2024","23495","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sat Jan 20 03:59:20 UTC 2024","Sat Jan 20 03:59:33 UTC 2024","12529","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Sat Jan 20 02:27:50 UTC 2024","Sat Jan 20 02:27:50 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Jan 20 03:29:27 UTC 2024","Sat Jan 20 03:29:45 UTC 2024","18710","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Jan 20 03:59:07 UTC 2024","Sat Jan 20 03:59:09 UTC 2024","2141","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Jan 20 03:59:12 UTC 2024","Sat Jan 20 03:59:15 UTC 2024","3013","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat Jan 20 03:58:48 UTC 2024","Sat Jan 20 03:59:03 UTC 2024","14756","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sat Jan 20 04:12:23 UTC 2024","Sat Jan 20 04:12:26 UTC 2024","2768","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sat Jan 20 03:27:04 UTC 2024","Sat Jan 20 03:27:04 UTC 2024","759","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Jan 20 02:57:11 UTC 2024","Sat Jan 20 02:57:12 UTC 2024","371","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Jan 20 05:01:31 UTC 2024","Sat Jan 20 05:01:33 UTC 2024","2473","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
